repeat,fold,selected_item_count,item_ids
3,1,32,Q15;Q21;Q27;Q32;Q37;Q40;Q50;Q56;Q62;Q63;Q75;Q76;Q83;Q86;Q93;Q98;Q105;Q109;Q110;Q117;Q129;Q134;Q135;Q139;Q143;Q146;Q158;Q167;Q169;Q171;Q173;Q187
3,2,32,Q21;Q27;Q30;Q32;Q39;Q40;Q50;Q51;Q62;Q64;Q67;Q69;Q72;Q93;Q105;Q109;Q110;Q127;Q135;Q139;Q142;Q146;Q147;Q149;Q156;Q159;Q162;Q169;Q173;Q182;Q183;Q187
3,3,32,Q11;Q12;Q16;Q27;Q32;Q38;Q40;Q42;Q50;Q51;Q60;Q63;Q70;Q72;Q73;Q81;Q93;Q95;Q102;Q105;Q109;Q110;Q127;Q129;Q146;Q159;Q166;Q168;Q173;Q174;Q182;Q183
3,4,32,Q11;Q14;Q17;Q21;Q23;Q27;Q32;Q38;Q40;Q50;Q51;Q62;Q63;Q67;Q72;Q83;Q86;Q93;Q95;Q105;Q109;Q110;Q127;Q129;Q135;Q144;Q146;Q156;Q159;Q173;Q174;Q183
3,5,32,Q21;Q26;Q27;Q32;Q37;Q40;Q50;Q51;Q62;Q63;Q67;Q72;Q93;Q98;Q102;Q105;Q109;Q110;Q114;Q118;Q129;Q132;Q135;Q141;Q142;Q146;Q156;Q157;Q159;Q169;Q173;Q174
4,1,32,Q12;Q21;Q26;Q33;Q38;Q40;Q50;Q51;Q62;Q63;Q67;Q72;Q81;Q93;Q95;Q98;Q102;Q105;Q109;Q110;Q127;Q129;Q135;Q142;Q144;Q146;Q156;Q159;Q166;Q173;Q174;Q183
4,2,32,Q14;Q17;Q26;Q27;Q37;Q39;Q50;Q51;Q62;Q63;Q67;Q68;Q72;Q79;Q81;Q93;Q95;Q98;Q105;Q109;Q110;Q132;Q135;Q139;Q146;Q156;Q159;Q169;Q173;Q174;Q182;Q187
4,3,32,Q11;Q13;Q14;Q16;Q21;Q27;Q32;Q39;Q50;Q51;Q63;Q67;Q72;Q83;Q93;Q99;Q105;Q109;Q110;Q123;Q127;Q129;Q135;Q137;Q146;Q156;Q160;Q168;Q169;Q173;Q182;Q187
4,4,31,Q11;Q15;Q17;Q26;Q27;Q32;Q40;Q50;Q62;Q67;Q72;Q86;Q89;Q93;Q98;Q105;Q109;Q114;Q118;Q120;Q129;Q135;Q146;Q155;Q158;Q159;Q169;Q173;Q174;Q183;Q187
4,5,32,Q11;Q21;Q27;Q32;Q37;Q40;Q48;Q51;Q63;Q67;Q72;Q75;Q93;Q104;Q105;Q109;Q110;Q118;Q127;Q136;Q139;Q140;Q146;Q155;Q158;Q159;Q167;Q169;Q173;Q174;Q182;Q187
5,1,32,Q11;Q15;Q21;Q27;Q30;Q32;Q40;Q42;Q50;Q51;Q62;Q64;Q67;Q72;Q73;Q86;Q93;Q99;Q105;Q109;Q110;Q114;Q127;Q133;Q146;Q156;Q159;Q168;Q169;Q173;Q183;Q187
5,2,32,Q11;Q13;Q14;Q16;Q21;Q26;Q27;Q32;Q37;Q40;Q67;Q86;Q93;Q95;Q98;Q99;Q105;Q109;Q110;Q118;Q129;Q135;Q139;Q146;Q156;Q158;Q159;Q171;Q173;Q174;Q182;Q187
5,3,32,Q11;Q21;Q27;Q32;Q39;Q40;Q50;Q51;Q62;Q64;Q67;Q68;Q72;Q81;Q83;Q86;Q98;Q105;Q109;Q110;Q117;Q118;Q129;Q135;Q139;Q145;Q146;Q159;Q173;Q174;Q178;Q183
5,4,32,Q11;Q15;Q27;Q32;Q40;Q48;Q50;Q56;Q62;Q63;Q67;Q72;Q76;Q93;Q95;Q105;Q109;Q110;Q114;Q118;Q127;Q129;Q136;Q146;Q167;Q169;Q173;Q174;Q182;Q183;Q184;Q187
5,5,32,Q11;Q14;Q17;Q21;Q22;Q38;Q40;Q51;Q63;Q81;Q93;Q105;Q109;Q110;Q117;Q127;Q129;Q136;Q137;Q144;Q146;Q147;Q149;Q156;Q157;Q158;Q159;Q169;Q173;Q174;Q176;Q187
